Designator;MPN;Qty;Link;
U1;Seeed SKU 102010448;1;https://www.seeedstudio.com/Seeed-XIAO-BLE-nRF52840-p-5201.html?queryID=6aa65b453a24e64fed83521bfe4dd6eb&objectID=5201&indexName=bazaar_retailer_products;DO Not Solder
B1,B2;SW_TACT_ALPS_SKQGABE010;2;;DO Not Solder
S3,S9,S7,S4,S6,S1,S8,S2,S10,S5;Kailh CPG135001D01;10;;
TRRS;TRRS-PJ-320A-dual;1;SKU CMP-JCK-PJB-002;DO Not Solder
SW01;Part number: MSK12C02;1;;
BT01;Battery_Cell;1;;
